file,source_sha256,output,output_sha256,width,height,format,source_bytes,output_bytes
po_mi_x_sf06_m.tga,c56e238b9296d606d9976b3973aef1fe709a130f314bc7218ff3de2e0cb5294e,po_mi_x_sf06_m.dds,9542f25d2f09e5f2afd1617a4ee79b686039f9245c850f2153a4b257e2a50e0a,64,128,DXT1,24594,4224
po_mi_x_sf06_s.tga,e81d4e6702c2432da1d1010b7f98f4a057036c2f6d8af8eeeed07090f9dcc121,po_mi_x_sf06_s.dds,b489a63434e8bdd4db81ae353a32ebd8a2a271dd2375a855fe5f7aede3cb8f93,32,64,DXT1,6162,1152
po_mi_x_sf06_t.tga,1b8329b76bfdc284045a925ef74e58b0263ec2a89138519ce99bc50fb7b12dcc,po_mi_x_sf06_t.dds,01e0a67c5327bf070050972faedf3656f9fff4fd8faa2d4f5e0bf881d53fa21b,16,32,DXT1,1554,384
po_mi_x_sf09_l.tga,095381d06d789a47d1701e2277a7158833854a4d66669cecb93eebfef7f8e409,po_mi_x_sf09_l.dds,418b37e860387325082130813914da65f63e03942a0a8a8d34a70fff177d85ab,128,256,DXT1,98322,16512
po_mi_x_sf09_m.tga,b5088d6b1a2f36a018414a96b72a8589ed3fa5dba765f68c4fa7a19763002092,po_mi_x_sf09_m.dds,95144734db39756a0f5e4b89a01213c859afdd2dc0954241f052c9eb0d014486,64,128,DXT1,24594,4224
po_mi_x_sf09_s.tga,f37e9938c34fde8fb125ac9880cee40d8b61de2225ab815d7e6b9792f71065ab,po_mi_x_sf09_s.dds,a16ac271b01a081e94ec6c04d3836309183329464e987d0269c7c3c69220e31f,32,64,DXT1,6162,1152
po_mi_x_sf09_t.tga,1ea6c783b90db10818e107d74935777e0672270a16d16e572307d5824b4599d4,po_mi_x_sf09_t.dds,14e57729294dc10d51db3dc4bc7240ef83b963d3a63d4e2d758fb9176d3f39c5,16,32,DXT1,1554,384
po_mi_x_sf18_l.tga,251a27d53f5558f442f1d2a73b3222504cc4db9d7475cb591ba147d2933c4e28,po_mi_x_sf18_l.dds,757508ede24d2a812e458c873db776ac947f2089ac8c7ba51b64ccc0ba5532a3,128,256,DXT1,98322,16512
po_mi_x_sf18_m.tga,6167761ae26c344ce70ba2791c2a7e6c8bcd736a5ecb8312c1de1b94ee9a706f,po_mi_x_sf18_m.dds,1bc58335cc01283bb0bf420b1569f614c53410260fc90dc01a3f404c677cdeef,64,128,DXT1,24594,4224
po_mi_x_sf18_s.tga,5c4ff71cd1c8d228c1f2ef93dc4ae74424228eee95e1e786ca3ff8e2da3adc0b,po_mi_x_sf18_s.dds,917a03196780e6371daed723527e68bd17b26e9d55ce67a243f8c62cb24562ed,32,64,DXT1,6162,1152
